,Ireland,Lugh,King,Son,Gobhaun,Earth,Dagda,Fomor,Conary,Balor
Ireland,1.0,0.1808605418064826,0.15646698441465134,0.2134812328057472,0.21056606834251487,0.2933872842848246,0.27945748671253123,0.2179555841908166,0.1186963775135265,0.22937293044505824
Lugh,0.22807913307474656,1.0,0.16822680016096475,0.21682154200608533,0.2591575837957643,0.1685356990235117,0.3219445864761291,0.12209941448657353,0.23195360194314243,0.171787729244245
King,0.22824635434201057,0.2635618422521671,1.0,0.2956760737761902,0.36037700256334887,0.40673080819279817,0.4536253333473369,0.46615232243626514,0.1885167099468037,0.3787930281325652
Son,0.30455744545108354,0.16713718462130472,0.3544632570106565,1.0,0.2776999673505219,0.436275527101273,0.22251974454312484,0.3078580899697388,0.248953045374827,0.24524783991046362
Gobhaun,0.2026929557635429,0.3028768060536384,0.3230691006952758,0.2730596801760159,1.0,0.3818941341090543,0.3337997671473844,0.36258324645303996,0.4112465318570771,0.21001583178535316
Earth,0.5118679807214155,0.2793800851512642,0.5895644591068441,0.3731543603474506,0.4486601004810796,1.0,0.3274288887804098,0.5476412979132759,0.34684540128719143,0.4473708815630208
Dagda,0.5404439676333026,0.5262546432802129,0.6267145451513483,0.29659916307256684,0.4665569459578868,0.1471789371237137,1.0,0.5005593543541401,0.5422009960229718,0.29799851799269567
Fomor,0.31986571423922405,0.3031604493936603,0.5132012970896864,0.3768382855962577,0.5314915612768695,0.5414420594829513,0.2720498970979856,1.0,0.19834541846794157,0.2896791478393662
Conary,0.15708843333844186,0.26543506234254427,0.1670156758083686,0.1776984760065821,0.4079119180043017,0.34969675257636995,0.4808416059925265,0.29098686012378666,1.0,0.4239508312115727
Balor,0.35233002595089674,0.25067824948546985,0.38426539709953117,0.2072642804458716,0.1484171688180849,0.35694617613845686,0.18624856636105014,0.4029510083899272,0.5096294497179785,1.0
