,Odin,Thor,Loke,Son,Hvergelmer,Frey,Freyja,Sigurd,Har,Name
Odin,1.0,0.1710811981800439,0.24332676204505357,0.1936741556058885,0.2975966472683474,0.14979196401615197,0.21755745932283246,0.23808006474274176,0.2637807939531328,0.16828892787259464
Thor,0.21963784203475784,1.0,0.2949514007774941,0.19317250288480828,0.3005977830786928,0.257773800808057,0.26915529501643515,0.21977384466130576,0.1770843840084063,0.21919416847789733
Loke,0.3098672029286595,0.3157614158929007,1.0,0.49200709077955607,0.4791066036394896,0.447468849539638,0.5551258831108759,0.3537383953761186,0.4112441384907411,0.3949825699728206
Son,0.19640384954032822,0.403859783013634,0.4412253396815557,1.0,0.33319981464092435,0.4369266216823661,0.4500161126674444,0.3746658170668924,0.4700396875404101,0.4587898138616379
Hvergelmer,0.4423493885498431,0.5111549242492108,0.47442408262453784,0.43901218689651333,1.0,0.29865300106818127,0.5048245278830807,0.3997555124237926,0.47348376238707607,0.507332833444088
Frey,0.38647502815542567,0.3689099473009518,0.5812591109815777,0.6427649718349124,0.49749633709019775,1.0,0.595531651649037,0.49552671764297734,0.4619001977585355,0.4712033810969511
Freyja,0.3680560291058695,0.6295423558586952,0.6485274196869649,0.612341809386723,0.5470985391602432,0.5213402788962687,1.0,0.49912286712066817,0.4845995679630479,0.5714173672869058
Sigurd,0.2824619834891723,0.386500929762307,0.45912376544023964,0.35226461513368895,0.49704108139959907,0.5025766798276673,0.4577056243941673,1.0,0.44201812409467783,0.4108979081717833
Har,0.36436499512843007,0.36475678898319985,0.5566119872465403,0.5410263976043436,0.4354639629152698,0.5597520090047999,0.5880414791290854,0.4618880534276855,1.0,0.43154898104596706
Name,0.3676717786751244,0.23735808287639182,0.2357951510413304,0.23822973067053405,0.23717412495925075,0.24507045361207563,0.2288034315625203,0.2538117056303951,0.22429732241835715,1.0
