,Heracles,Psyche,Jason,Apollo,Zeus,Perseus,Eurystheus,Persephone,Pelias,Theseus
Heracles,1.0,0.20193490654117022,0.2100935495203428,0.16562994300473105,0.14509436983121193,0.1581631404016986,0.13400870243496527,0.19126516971116805,0.30387660168272435,0.10369923475946059
Psyche,0.2501532711665484,1.0,0.23877989342654002,0.3013921354186395,0.26841812703315143,0.3806045758698982,0.29381877886656843,0.2376664320589963,0.299385792248579,0.2691477838347994
Jason,0.23668147371576925,0.5539577242755122,1.0,0.44250424535769894,0.32734746301470125,0.4019927172015079,0.3509267349651083,0.4071013812305382,0.24876000462810147,0.30519618330541093
Apollo,0.4088330867608541,0.24853814645927266,0.26285196660950055,1.0,0.3057427872339386,0.24068351409435357,0.39613193471618235,0.23551331057524874,0.36936481729552306,0.3091873095307382
Zeus,0.27467412656420676,0.40212960749961907,0.24636087368870535,0.34030487305835344,1.0,0.2814771206640051,0.40211855021423915,0.356709872415507,0.403866843052474,0.3299678726196648
Perseus,0.22627568523212244,0.245446886324434,0.23685224761004178,0.16455175606871122,0.20465856948842645,1.0,0.14679663968764411,0.48837094055232916,0.35005739202411335,0.28532701212159667
Eurystheus,0.41622686284679405,0.3512887345172244,0.27351542563064657,0.4313718261623352,0.3708778164718434,0.23713758082232314,1.0,0.276476920257508,0.4785738467994425,0.33762846594272006
Persephone,0.17030174100853648,0.527761963860973,0.3311177553583188,0.3116064153958453,0.262337888557807,0.29418553164577693,0.37634852994216395,1.0,0.45015791688687523,0.3193357990205052
Pelias,0.25708845602082414,0.1811346557205077,0.2719726591562524,0.2864279296558724,0.4095820807046769,0.4560857506539889,0.393178172487789,0.3201196141559815,1.0,0.4183507188282562
Theseus,0.17432371542202393,0.4147547686944701,0.24941641299455344,0.41162325446537235,0.44751668079925844,0.2688550065891424,0.46048925368487836,0.23278112970959214,0.42341675774127846,1.0
