,Son,Name,Heracles,Odin,Hvergelmer,Lugh,King,Ireland,Loke,Thor
Son,1.0,0.24662498180217204,0.3773317498258312,0.11868190690674844,0.23011646741330272,0.09377430132464483,0.2594792266771982,0.18360514498729524,0.2901618914217822,0.22656703186508972
Name,0.20288802739313672,1.0,0.45127544783850354,0.33170067236819784,0.2362206414645091,0.4428875033961229,0.277238367645403,0.4852196989039858,0.23259965901661878,0.23469580488655223
Heracles,0.1422813134031787,0.4035609972708172,1.0,0.2004110194688225,0.4851270625467167,0.4083662746858095,0.15547635225053094,0.3919575940288818,0.42128311161686055,0.30959123509451575
Odin,0.1738468839744517,0.16269791344934162,0.3053331060320481,1.0,0.2653699371572741,0.3249249334182371,0.18623090846680898,0.2799215574377923,0.24503535387264708,0.20241229563450028
Hvergelmer,0.42399912227146375,0.5164640700399984,0.44423022492660735,0.42431094818565646,1.0,0.43595269298124817,0.39874575853544536,0.48825107414224234,0.4604828663384589,0.5262524905314085
Lugh,0.18569523372666696,0.4201645487052691,0.37558395936982353,0.19796346985090565,0.4518895499592378,1.0,0.17688790585564498,0.12766665573686134,0.5025501070755017,0.2921279716697949
King,0.27287883343773806,0.4268685392413367,0.2251940584434727,0.16096541085474544,0.29090620917821897,0.1834646451222312,1.0,0.14391210229943388,0.5208260166019252,0.2839370478121128
Ireland,0.21538359653494005,0.540010921256058,0.39973436146503705,0.22739552954394107,0.4922337977032036,0.1417707816580234,0.15594025447258597,1.0,0.7154138603342535,0.5114976091912837
Loke,0.4682313922696263,0.3872111215788628,0.491771039522464,0.3163212657208666,0.43775865648621837,0.4037103469387424,0.5260851761785338,0.6364801651922998,1.0,0.2989846106561939
Thor,0.20978312755842965,0.25478235555273476,0.39458811418245765,0.17475753221826243,0.3271252409167369,0.45620082688734387,0.2759217644053479,0.46256676716792144,0.3041392137731261,1.0
